concept,concept_type,domain,name,description,sourceurl
sexratio_maleperfemale,measure,,Sex ratio at birth (male births per female births),"File FERT/2: Sex ratio at birth by region, subregion and country, 1950-2100 (male births per female births)",https://esa.un.org/unpd/wpp/DVD/
survivorage,measure,,"life table survivors, l(x), at exact age (x)","life table survivors at exact age, l(x), by major area, region and country, 1950-2100",https://esa.un.org/unpd/wpp/DVD/
totaldeaths,measure,,Number of deaths (thousands),"deaths, by major area, region and country, 1950-2100 (thousands)",https://esa.un.org/unpd/wpp/DVD/
totalfertility,measure,,Total fertility (live births per woman),"File FERT/4: Total fertility by region, subregion and country, 1950-2100 (live births per woman)",https://esa.un.org/unpd/wpp/DVD/
under40mortalityper1000livebirth,measure,,"under-forty mortality, 40q0 (deaths under age 40 per 1,000 live births)","probability of dying between birth and the age of 40 years by major area, region and country, 1950-2100 (deaths under age 40 per 1,000 live births)",https://esa.un.org/unpd/wpp/DVD/
under5mortalityper1000livebirth,measure,,"Under-five mortality, 5q0, for both sexes combined (deaths under age five per 1,000 live births)","File MORT/1-2: Under-five mortality (both sexes combined) by region, subregion and country, 1950-2100 (deaths under age five per 1,000 live births)",https://esa.un.org/unpd/wpp/DVD/
under60mortalityper1000livebirth,measure,,"under-sixty mortality, 60q0 (deaths under age 60 per 1,000 live births)","probability of dying between birth and the age of 60 years by major area, region and country, 1950-2100 (deaths under age 60 per 1,000 live births)",https://esa.un.org/unpd/wpp/DVD/
newformat,measure,,,,
infantmortality,measure,,,,
populationchange,measure,,,,
populationnaturalchange,measure,,,,
totalpopulationannualdoubletime,measure,,,,
totalsurvivors_under_one_yearage,measure,,,,
under_five_mortality,measure,,,,
